eta,semi_span_y_m,chord_m,airfoil,twist_deg,reynolds
0.0,0.0,1.0575793184488838,DAE11,0.0,687804.8126997254
0.25,2.875,0.9200940070505288,DAE11/DAE21 provisional blend,-0.15,598390.187048761
0.5,5.75,0.782608695652174,DAE21 provisional,-0.35,508975.5613977968
0.75,8.625,0.6451233842538191,DAE31 provisional,-0.85,419560.9357468325
1.0,11.5,0.5076380728554641,DAE31/DAE41 provisional blend,-1.5,330146.31009586813
